FIPS,c,s,rate
01001,Autauga County,AL,5.7
01003,Baldwin County,AL,5.8
01005,Barbour County,AL,10.0
01007,Bibb County,AL,6.8
01009,Blount County,AL,5.6
01011,Bullock County,AL,12.0
01013,Butler County,AL,9.3
01015,Calhoun County,AL,7.3
01017,Chambers County,AL,7.3
01019,Cherokee County,AL,5.7
01021,Chilton County,AL,5.8
01023,Choctaw County,AL,7.8
01025,Clarke County,AL,10.8
01027,Clay County,AL,8.2
01029,Cleburne County,AL,6.2
01031,Coffee County,AL,6.2
01033,Colbert County,AL,6.8
01035,Conecuh County,AL,10.3
01037,Coosa County,AL,8.1
01039,Covington County,AL,7.2
01041,Crenshaw County,AL,6.3
01043,Cullman County,AL,5.5
01045,Dale County,AL,7.1
01047,Dallas County,AL,12.7
01049,DeKalb County,AL,7.0
01051,Elmore County,AL,6.0
01053,Escambia County,AL,8.0
01055,Etowah County,AL,6.5
01057,Fayette County,AL,7.3
01059,Franklin County,AL,7.7
01061,Geneva County,AL,6.5
01063,Greene County,AL,10.1
01065,Hale County,AL,9.9
01067,Henry County,AL,6.8
01069,Houston County,AL,6.2
01071,Jackson County,AL,6.3
01073,Jefferson County,AL,6.0
01075,Lamar County,AL,6.9
01077,Lauderdale County,AL,6.1
01079,Lawrence County,AL,7.3
01081,Lee County,AL,5.2
01083,Limestone County,AL,5.5
01085,Lowndes County,AL,11.9
01087,Macon County,AL,8.6
01089,Madison County,AL,5.5
01091,Marengo County,AL,8.1
01093,Marion County,AL,7.9
01095,Marshall County,AL,6.1
01097,Mobile County,AL,7.5
01099,Monroe County,AL,11.4
01101,Montgomery County,AL,6.9
01103,Morgan County,AL,6.0
01105,Perry County,AL,12.9
01107,Pickens County,AL,8.0
01109,Pike County,AL,6.6
01111,Randolph County,AL,7.4
01113,Russell County,AL,7.5
01115,St. Clair County,AL,5.6
01117,Shelby County,AL,4.4
01119,Sumter County,AL,9.9
01121,Talladega County,AL,7.1
01123,Tallapoosa County,AL,7.7
01125,Tuscaloosa County,AL,5.8
01127,Walker County,AL,6.6
01129,Washington County,AL,10.2
01131,Wilcox County,AL,15.6
01133,Winston County,AL,8.9
02013,Aleutians East Borough,AK,11.5
02016,Aleutians West Census Area,AK,8.8
02020,Anchorage Borough,AK,5.0
02050,Bethel Census Area,AK,15.4
