FIPS,c,s,rate
01001,"Autauga County, AL",AL,6.3
01003,"Baldwin County, AL",AL,6.7
01005,"Barbour County, AL",AL,10.4
01007,"Bibb County, AL",AL,7.8
01009,"Blount County, AL",AL,6.3
01011,"Bullock County, AL",AL,9.6
01013,"Butler County, AL",AL,10.4
01015,"Calhoun County, AL",AL,8.6
01017,"Chambers County, AL",AL,8.0
01019,"Cherokee County, AL",AL,6.6
01021,"Chilton County, AL",AL,6.6
01023,"Choctaw County, AL",AL,9.2
01025,"Clarke County, AL",AL,14.0
01027,"Clay County, AL",AL,8.4
01029,"Cleburne County, AL",AL,7.7
01031,"Coffee County, AL",AL,7.0
01033,"Colbert County, AL",AL,8.1
01035,"Conecuh County, AL",AL,10.9
01037,"Coosa County, AL",AL,9.0
01039,"Covington County, AL",AL,8.1
01041,"Crenshaw County, AL",AL,7.5
01043,"Cullman County, AL",AL,6.6
01045,"Dale County, AL",AL,7.5
01047,"Dallas County, AL",AL,12.4
01049,"DeKalb County, AL",AL,7.6
01051,"Elmore County, AL",AL,6.2
01053,"Escambia County, AL",AL,8.6
01055,"Etowah County, AL",AL,7.5
01057,"Fayette County, AL",AL,8.3
01059,"Franklin County, AL",AL,8.1
01061,"Geneva County, AL",AL,7.0
01063,"Greene County, AL",AL,13.0
01065,"Hale County, AL",AL,11.7
01067,"Henry County, AL",AL,7.7
01069,"Houston County, AL",AL,7.0
01071,"Jackson County, AL",AL,7.7
01073,"Jefferson County, AL",AL,6.7
01075,"Lamar County, AL",AL,7.1
01077,"Lauderdale County, AL",AL,7.1
01079,"Lawrence County, AL",AL,8.3
01081,"Lee County, AL",AL,6.0
01083,"Limestone County, AL",AL,6.3
01085,"Lowndes County, AL",AL,14.3
01087,"Macon County, AL",AL,9.7
01089,"Madison County, AL",AL,6.4
01091,"Marengo County, AL",AL,8.9
01093,"Marion County, AL",AL,8.0
01095,"Marshall County, AL",AL,6.8
01097,"Mobile County, AL",AL,8.4
01099,"Monroe County, AL",AL,12.1
01101,"Montgomery County, AL",AL,7.3
01103,"Morgan County, AL",AL,6.9
01105,"Perry County, AL",AL,13.7
01107,"Pickens County, AL",AL,9.3
01109,"Pike County, AL",AL,7.7
01111,"Randolph County, AL",AL,7.8
01113,"Russell County, AL",AL,7.3
01115,"St. Clair County, AL",AL,6.2
01117,"Shelby County, AL",AL,4.7
01119,"Sumter County, AL",AL,9.2
01121,"Talladega County, AL",AL,8.4
01123,"Tallapoosa County, AL",AL,8.1
01125,"Tuscaloosa County, AL",AL,6.4
01127,"Walker County, AL",AL,8.2
01129,"Washington County, AL",AL,11.0
01131,"Wilcox County, AL",AL,19.6
01133,"Winston County, AL",AL,9.5
02013,"Aleutians East Borough, AK",AK,6.4
02016,"Aleutians West Census Area, AK",AK,7.0
02020,"Anchorage Borough/municipality, AK",AK,5.2
02050,"Bethel Census Area, AK",AK,16.1
02060,"Bristol Bay Borough, AK",AK,8.6
02068,"Denali Borough, AK",AK,12.3
02070,"Dillingham Census Area, AK",AK,10.1
02090,"Fairbanks North Star Borough, AK",AK,5.8
02100,"Haines Borough, AK",AK,9.9
02105,"Hoonah-Angoon Census Area, AK",AK,14.6
02110,"Juneau Borough/city, AK",AK,5.0
02122,"Kenai Peninsula Borough, AK",AK,7.9
02130,"Ketchikan Gateway Borough, AK",AK,7.5
02150,"Kodiak Island Borough, AK",AK,6.2
02164,"Lake and Peninsula Borough, AK",AK,14.4
02170,"Matanuska-Susitna Borough, AK",AK,8.2
02180,"Nome Census Area, AK",AK,12.2
02185,"North Slope Borough, AK",AK,7.1
02188,"Northwest Arctic Borough, AK",AK,16.3
02195,"Petersburg Census Area, AK",AK,9.2
02198,"Prince of Wales-Hyder Census Area, AK",AK,11.9
02201,"Prince of Wales-Outer Ketchikan Census Area, AK",AK,N/A
02220,"Sitka Borough/city, AK",AK,5.4
02232,"Skagway-Hoonah-Angoon Census Area, AK",AK,N/A
02240,"Southeast Fairbanks Census Area, AK",AK,12.9
02261,"Valdez-Cordova Census Area, AK",AK,9.8
02270,"Wade Hampton Census Area, AK",AK,23.6
02275,"Wrangell Borough/city, AK",AK,8.0
02280,"Wrangell-Petersburg Census Area, AK",AK,N/A
02282,"Yakutat Borough/city, AK",AK,9.4
02290,"Yukon-Koyukuk Census Area, AK",AK,18.2
04001,"Apache County, AZ",AZ,18.5
04003,"Cochise County, AZ",AZ,9.0
04005,"Coconino County, AZ",AZ,8.1
04007,"Gila County, AZ",AZ,9.5
04009,"Graham County, AZ",AZ,8.0
04011,"Greenlee County, AZ",AZ,5.6
04012,"La Paz County, AZ",AZ,8.4
04013,"Maricopa County, AZ",AZ,6.6
04015,"Mohave County, AZ",AZ,10.3
04017,"Navajo County, AZ",AZ,13.6
04019,"Pima County, AZ",AZ,6.8
04021,"Pinal County, AZ",AZ,8.3
04023,"Santa Cruz County, AZ",AZ,15.5
04025,"Yavapai County, AZ",AZ,7.7
04027,"Yuma County, AZ",AZ,25.7
05001,"Arkansas County, AR",AR,7.3
05003,"Ashley County, AR",AR,11.1
05005,"Baxter County, AR",AR,8.0
05007,"Benton County, AR",AR,5.7
05009,"Boone County, AR",AR,7.1
05011,"Bradley County, AR",AR,9.9
05013,"Calhoun County, AR",AR,8.2
05015,"Carroll County, AR",AR,6.1
05017,"Chicot County, AR",AR,11.8
