"Unemployment and median household income for the U.S., States, and counties, 2000-13",_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27,_unnamed_28,_unnamed_29,_unnamed_30,_unnamed_31,_unnamed_32,_unnamed_33,_unnamed_34,_unnamed_35,_unnamed_36,_unnamed_37,_unnamed_38,_unnamed_39,_unnamed_40,_unnamed_41,_unnamed_42,_unnamed_43,_unnamed_44,_unnamed_45,_unnamed_46,_unnamed_47,_unnamed_48,_unnamed_49,_unnamed_50,_unnamed_51,_unnamed_52,_unnamed_53,_unnamed_54,_unnamed_55,_unnamed_56,_unnamed_57,_unnamed_58,_unnamed_59,_unnamed_60,_unnamed_61,_unnamed_62,_unnamed_63,_unnamed_64,_unnamed_65,_unnamed_66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: Unemployment - Bureau of Labor Statistics - LAUS data - http://www.bls.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median Household Income - Census Bureau - SAIPE data - http://www.census.gov/did/www/saipe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rural Classifications - USDA, Economic Research Service - http://www.ers.usda.gov/topics/rural-economy-population/rural-classifications.aspx#.Ux28Kc5H0yM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS_Code,State,Area_name,State_FIPS,Cnty_FIPS,Rural_urban_continuum_code_2003,Urban_influence_code_2003,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Median_Household_Income_2012,Med_HH_Income_Percent_of_StateTotal_2012
01000,AL,Alabama,01,000, , , , ,2154545.0,2067147.0,87398.0,4.1,2134845.0,2034909.0,99936.0,4.7,2107858.0,1994748.0,113110.0,5.4,2104209.0,1989784.0,114425.0,5.4,2113781.0,2007153.0,106628.0,5.0,2133177.0,2051893.0,81284.0,3.8,2173817.0,2098462.0,75355.0,3.5,2178480.0,2104157.0,74323.0,3.4,2160934.0,2053747.0,107187.0,5.0,2145622.0,1936662.0,208960.0,9.7,2178219.0,1978198.0,200021.0,9.2,2189650.0,2003695.0,185955.0,8.5,2163035.0,2009603.0,153432.0,7.1,2138048.0,1999848.0,138200.0,6.5,41610.0,100.0
01001,AL,Autauga County,01,001,2.0,2.0,2.0,2.0,21954.0,21170.0,784.0,3.6,22178.0,21349.0,829.0,3.7,22135.0,21171.0,964.0,4.4,22455.0,21430.0,1025.0,4.6,22996.0,22018.0,978.0,4.3,23831.0,23061.0,770.0,3.2,24492.0,23792.0,700.0,2.9,24440.0,23747.0,693.0,2.8,24528.0,23424.0,1104.0,4.5,24546.0,22440.0,2106.0,8.6,25917.0,23944.0,1973.0,7.6,25816.0,23853.0,1963.0,7.6,25764.0,24147.0,1617.0,6.3,25477.0,24028.0,1449.0,5.7,51441.0,123.6
01003,AL,Baldwin County,01,003,4.0,5.0,3.0,2.0,70300.0,68009.0,2291.0,3.3,69850.0,67118.0,2732.0,3.9,69283.0,66117.0,3166.0,4.6,71831.0,68602.0,3229.0,4.5,74022.0,70648.0,3374.0,4.6,76404.0,73819.0,2585.0,3.4,80033.0,77827.0,2206.0,2.8,82877.0,80678.0,2199.0,2.7,82739.0,79383.0,3356.0,4.1,81926.0,74868.0,7058.0,8.6,83461.0,76294.0,7167.0,8.6,84467.0,77854.0,6613.0,7.8,83748.0,78139.0,5609.0,6.7,83825.0,78930.0,4895.0,5.8,48867.0,117.4
01005,AL,Barbour County,01,005,6.0,6.0,6.0,6.0,11475.0,10915.0,560.0,4.9,11331.0,10559.0,772.0,6.8,10961.0,10191.0,770.0,7.0,10882.0,10181.0,701.0,6.4,10500.0,9827.0,673.0,6.4,10673.0,10146.0,527.0,4.9,10709.0,10184.0,525.0,4.9,10312.0,9754.0,558.0,5.4,10046.0,9268.0,778.0,7.7,9880.0,8625.0,1255.0,12.7,9926.0,8751.0,1175.0,11.8,9577.0,8547.0,1030.0,10.8,9126.0,8122.0,1004.0,11.0,8674.0,7803.0,871.0,10.0,30287.0,72.8
